"","player","salaries","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"216","Donald Sloan",1015421,"PG",75,205,61,154,350,78,104,173,268,32,4,80,73,424,"BRK"
"217","Thaddeus Young",11200000,"PF",80,221,73,495,963,105,163,660,135,112,37,136,182,1102,"BRK"
"218","Elton Brand",890693,"C",80,275,17,31,72,8,9,63,18,9,8,11,32,70,"PHI"
"219","Isaiah Canaan",947276,"SG",72,201,77,260,722,150,180,174,137,56,12,91,133,846,"PHI"
"220","Robert Covington",1e+06,"SF",81,215,67,274,712,140,177,419,97,105,40,143,232,858,"PHI"
"221","Jerami Grant",845059,"SF",80,210,77,251,599,212,322,361,135,54,127,110,215,749,"PHI"
"222","Richaun Holmes",1050000,"PF",82,245,51,114,222,51,74,135,33,19,40,32,92,287,"PHI"
"223","Carl Landry",6500000,"PF",81,248,36,139,250,67,91,146,32,12,9,22,69,351,"PHI"
"224","Kendall Marshall",2144722,"PG",76,200,30,43,118,9,13,28,73,16,2,43,30,111,"PHI"
"225","T.J. McConnell",525093,"PG",74,200,81,218,464,26,41,250,367,95,10,140,114,493,"PHI"
"226","Nerlens Noel",3457800,"C",83,228,67,306,587,134,227,542,122,118,100,158,192,747,"PHI"
"227","Jahlil Okafor",4582680,"C",83,275,53,397,781,133,194,373,65,22,61,124,140,928,"PHI"
"228","Phil Pressey",172739,"PG",71,175,14,21,55,9,18,23,46,11,1,19,14,55,"PHI"
"229","JaKarr Sampson",845059,"SF",81,214,47,86,202,62,97,129,30,11,16,51,91,240,"PHI"
"230","Ish Smith",1100602,"PG",72,175,50,299,739,89,133,213,348,64,18,130,95,733,"PHI"
"231","Nik Stauskas",2869440,"SG",78,205,73,210,545,91,118,183,138,44,20,94,115,617,"PHI"
"232","Hollis Thompson",947276,"SG",80,206,77,270,680,69,96,272,99,36,24,76,187,758,"PHI"
"233","Sonny Weems",2800000,"SF",78,205,7,7,21,1,2,12,2,0,0,4,7,17,"PHI"
"234","Christian Wood",305789,"PF",83,220,17,22,53,13,21,38,3,5,7,2,11,61,"PHI"
"235","Tony Wroten",2179354,"PG",78,205,8,22,65,20,37,21,20,3,0,29,11,67,"PHI"
"236","Leandro Barbosa",2500000,"SG",75,194,68,171,370,52,62,117,82,44,10,53,107,433,"GSW"
"237","Harrison Barnes",3873398,"SF",80,210,66,295,633,102,134,325,117,41,10,57,136,774,"GSW"
"238","Andrew Bogut",1.2e+07,"C",84,260,70,175,279,24,50,492,162,33,114,83,221,375,"GSW"
"239","Ian Clark",947276,"SG",75,175,66,89,202,28,34,68,64,17,13,43,58,236,"GSW"
"240","Stephen Curry",11370786,"PG",75,190,79,805,1598,363,400,430,527,169,15,262,161,2375,"GSW"
"241","Festus Ezeli",2008748,"C",83,255,46,125,228,70,132,257,32,18,50,38,94,320,"GSW"
"242","Draymond Green",14300000,"PF",79,230,81,401,819,229,329,769,598,119,113,259,240,1131,"GSW"
"243","Andre Iguodala",11710456,"SF",78,215,65,176,368,51,83,263,219,73,19,79,102,457,"GSW"
"244","Shaun Livingston",5543725,"PG",79,192,78,203,379,80,93,169,237,57,27,78,140,488,"GSW"
"245","Kevon Looney",1131960,"PF",81,220,5,4,7,0,0,10,0,0,0,1,2,9,"GSW"
"246","James Michael McAdoo",845059,"PF",81,230,41,45,84,26,49,58,17,10,8,16,39,117,"GSW"
"247","Brandon Rush",1270964,"SG",78,220,72,111,260,18,28,181,57,20,23,33,57,305,"GSW"
"248","Marreese Speights",3815000,"C",82,255,72,197,456,94,114,239,61,19,34,66,117,512,"GSW"
"249","Klay Thompson",15500000,"SG",79,215,80,651,1386,193,221,306,166,60,49,138,152,1771,"GSW"
